The Hobbit: An Unexpected Journey,2012,5,Ian McKellen,Gandalf,Martin Freeman,Bilbo,Richard Armitage,Thorin,Andy Serkis,Gollum,Cate Blanchett,Galadriel
The Fast and the Furious,2001,5,Paul Walker,Brian O'Conner,Vin Diesel,Dominic Toretto,Michelle Rodriguez,Letty Ortiz,Jordana Brewster,Mia Toretto,Rick Yune,Johnny Tran
The Curious Case of Benjamin Button,2008,5,Cate Blanchett,Daisy,Brad Pitt,Benjamin Button,Tilda Swinton,Elizabeth Abbott,Julia Ormond,Caroline,Elle Fanning,Daisy Age 7
X-Men: First Class,2011,5,James McAvoy,Charles Xavier and Professor X,Michael Fassbender,Erik Lehnsherr and Magneto,Jennifer Lawrence,Raven Darkholme and Mystique,Kevin Bacon,Sebastian Shaw and Black Bishop,Rose Byrne,Moira MacTaggert
The Hunger Games: Mockingjay - Part 2,2015,5,Jennifer Lawrence,Katniss Everdeen,Josh Hutcherson,Peeta Mellark,Liam Hemsworth,Gale Hawthorne,Woody Harrelson,Haymitch Abernathy,Elizabeth Banks,Effie Trinket
The Sorcerer's Apprentice,2010,5,Nicolas Cage,Balthazar Blake,Jay Baruchel,Dave Stutler,Monica Bellucci,Veronica Gorloisen,Alfred Molina,Maxim Horvath,Teresa Palmer,Becky Barnes
Poseidon,2006,5,Kurt Russell,Robert Ramsey,Richard Dreyfuss,Richard Nelson,Josh Lucas,Dylan Johns,Jacinda Barrett,Maggie James,Emmy Rossum,Jennifer Ramsey
Alice Through the Looking Glass,2016,5,Johnny Depp,Mad Hatter,Mia Wasikowska,Alice Kingsleigh,Anne Hathaway,White Queen,Helena Bonham Carter,Red Queen,Alan Rickman,Blue Caterpillar (voice)
Shrek the Third,2007,5,Mike Myers,Shrek (voice),Eddie Murphy,Donkey (voice),Cameron Diaz,Princess Fiona (voice),Julie Andrews,Queen Lillian (voice),Antonio Banderas,Puss in Boots (voice)
Warcraft,2016,5,Paula Patton,Garona Halforcen,Travis Fimmel,Anduin Lothar,Ben Foster,Medivh,Robert Kazinsky,Orgrim Doomhammer,Dominic Cooper,King Llane Wrynn
Terminator Genisys,2015,5,Arnold Schwarzenegger,The Terminator,Jason Clarke,John Connor,Emilia Clarke,Sarah Connor,Jai Courtney,Kyle Reese,J.K. Simmons,Detective O'Brien
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,5,Skandar Keynes,Edmund Prevensie,Georgie Henley,Lucy Pevensie,Simon Pegg,Reepicheep (Voice),Gary Sweet,Lord Drinian,Arthur Angel,Rhince
Pearl Harbor,2001,5,Ben Affleck,Capt. Rafe McCawley,Josh Hartnett,Capt. Danny Walker,Kate Beckinsale,Nurse Lt. Evelyn Johnson,Cuba Gooding Jr.,Petty Officer Doris Miller,Jon Voight,President Franklin Delano Roosevelt
Transformers,2007,5,Shia LaBeouf,Sam Witwicky,Josh Duhamel,Captain Lennox,Megan Fox,Mikaela Banes,Rachael Taylor,Maggie Madsen,Tyrese Gibson,USAF Master Sgt. Epps
Alexander,2004,5,Colin Farrell,Alexander,Angelina Jolie,Olympias,Val Kilmer,Philip,Jared Leto,Hephaistion,Jonathan Rhys Meyers,Cassander
Harry Potter and the Order of the Phoenix,2007,5,Daniel Radcliffe,Harry Potter,Rupert Grint,Ron Weasley,Emma Watson,Hermione Granger,Michael Gambon,Albus Dumbledore,Ralph Fiennes,Lord Voldemort
Harry Potter and the Goblet of Fire,2005,5,Daniel Radcliffe,Harry Potter,Rupert Grint,Ron Weasley,Emma Watson,Hermione Granger,Ralph Fiennes,Lord Voldemort,Michael Gambon,Albus Dumbledore
Hancock,2008,5,Will Smith,John Hancock,Charlize Theron,Mary Embrey,Jason Bateman,Ray Embrey,Jae Head,Aaron Embrey,Eddie Marsan,Red
I Am Legend,2007,5,Will Smith,Robert Neville,Alice Braga,Anna Montez,Charlie Tahan,Ethan,Salli Richardson-Whitfield,Zoe Neville,Willow Smith,Marley Neville
Charlie and the Chocolate Factory,2005,5,Johnny Depp,Willy Wonka,Freddie Highmore,Charlie Bucket,David Kelly,Grandpa Joe,AnnaSophia Robb,Violet Beauregarde,Julia Winter,Veruca Salt
Ratatouille,2007,5,Patton Oswalt,Remy (voice),Ian Holm,Skinner (voice),Lou Romano,Linguini (voice),Brian Dennehy,Django (voice),Peter Sohn,Emile (voice)
Batman Begins,2005,5,Christian Bale,Bruce Wayne and Batman,Michael Caine,Alfred Pennyworth,Liam Neeson,Henri Ducard,Katie Holmes,Rachel Dawes,Gary Oldman,Jim Gordon
Madagascar: Escape 2 Africa,2008,5,Ben Stiller,Alex (voice),Jada Pinkett Smith,Gloria (voice),David Schwimmer,Melman (voice),Chris Rock,Marty and Additional Zebras (voice),Cedric the Entertainer,Maurice (voice)
Night at the Museum: Battle of the Smithsonian,2009,5,Ben Stiller,Larry Daley,Amy Adams,Amelia Earhart,Owen Wilson,Jedediah Smith,Hank Azaria,Kahmunrah and The Thinker and Abe Lincoln,Robin Williams,Theodore Roosevelt
X-Men Origins: Wolverine,2009,5,Hugh Jackman,Logan and Wolverine and Weapon X,Liev Schreiber,Victor Creed and Sabretooth,Danny Huston,Stryker,Lynn Collins,Kayla Silverfox and Silver Fox,Ryan Reynolds,Wade Wilson and Deadpool and Weapon XI
The Matrix Revolutions,2003,5,Keanu Reeves,Thomas "Neo" Anderson,Laurence Fishburne,Morpheus,Carrie-Anne Moss,Trinity,Hugo Weaving,Agent Smith,Mary Alice,Oracle
